FIPS,county_name,gdp_per_capita
19105,"Jones, IA",54724
19107,"Keokuk, IA",57346
19109,"Kossuth, IA",69505
19111,"Lee, IA",50596
19113,"Linn, IA",60886
19115,"Louisa, IA",54679
19117,"Lucas, IA",49026
19119,"Lyon, IA",74572
19121,"Madison, IA",59639
19123,"Mahaska, IA",53422
19125,"Marion, IA",60504
19127,"Marshall, IA",49056
19129,"Mills, IA",67777
19131,"Mitchell, IA",103776
19133,"Monona, IA",61040
19135,"Monroe, IA",55552
19137,"Montgomery, IA",50952
19139,"Muscatine, IA",55357
19141,"O'Brien, IA",66452
19143,"Osceola, IA",65776
19145,"Page, IA",53759
19147,"Palo Alto, IA",67946
19149,"Plymouth, IA",69463
19151,"Pocahontas, IA",67301
19153,"Polk, IA",63676
19155,"Pottawattamie, IA",55698
19157,"Poweshiek, IA",56395
19159,"Ringgold, IA",59141
19161,"Sac, IA",81000
19163,"Scott, IA",63006
19165,"Shelby, IA",66172
19167,"Sioux, IA",69043
19169,"Story, IA",52645
19171,"Tama, IA",58064
19173,"Taylor, IA",58609
19175,"Union, IA",50639
19177,"Van Buren, IA",50557
19179,"Wapello, IA",46336
19181,"Warren, IA",61761
19183,"Washington, IA",82109
19185,"Wayne, IA",55698
19187,"Webster, IA",53540
19189,"Winnebago, IA",56061
19191,"Winneshiek, IA",61774
19193,"Woodbury, IA",51792
19195,"Worth, IA",57188
19197,"Wright, IA",72689
20001,"Allen, KS",47258
20003,"Anderson, KS",50554
20005,"Atchison, KS",43390
20007,"Barber, KS",54276
20009,"Barton, KS",55824
20011,"Bourbon, KS",46550
20013,"Brown, KS",51445
20015,"Butler, KS",53996
20017,"Chase, KS",59065
20019,"Chautauqua, KS",43180
20021,"Cherokee, KS",54837
20023,"Cheyenne, KS",62925
20025,"Clark, KS",53697
20027,"Clay, KS",49088
20029,"Cloud, KS",45943
20031,"Coffey, KS",56523
20033,"Comanche, KS",50107
20035,"Cowley, KS",44313
20037,"Crawford, KS",44885
20039,"Decatur, KS",69606
20041,"Dickinson, KS",48547
20043,"Doniphan, KS",49008
20045,"Douglas, KS",53318
20047,"Edwards, KS",64806
20049,"Elk, KS",41645
20051,"Ellis, KS",54691
20053,"Ellsworth, KS",46702
20055,"Finney, KS",50214
20057,"Ford, KS",47545
20059,"Franklin, KS",49127
20061,"Geary, KS",51802
20063,"Gove, KS",87163
20065,"Graham, KS",61072
20067,"Grant, KS",42460
20069,"Gray, KS",64598
20071,"Greeley, KS",113233
20073,"Greenwood, KS",46806
20075,"Hamilton, KS",93379
20077,"Harper, KS",59954
20079,"Harvey, KS",51000
20081,"Haskell, KS",68589
20083,"Hodgeman, KS",61027
20085,"Jackson, KS",49670
20087,"Jefferson, KS",54370
20089,"Jewell, KS",52427
20091,"Johnson, KS",96517
20093,"Kearny, KS",60412
20095,"Kingman, KS",53226
20097,"Kiowa, KS",48872
20099,"Labette, KS",49542
20101,"Lane, KS",82008
20103,"Leavenworth, KS",50694
20105,"Lincoln, KS",49173
20107,"Linn, KS",47908
20109,"Logan, KS",66645
20111,"Lyon, KS",47109
20113,"McPherson, KS",59219
20115,"Marion, KS",47139
20117,"Marshall, KS",46828
20119,"Meade, KS",66731
20121,"Miami, KS",60411
20123,"Mitchell, KS",65630
20125,"Montgomery, KS",43949
20127,"Morris, KS",50226
20129,"Morton, KS",51870
